127.0.0.1 - - [24/Aug/2023:10:00:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:15:28 +0900] "GET /petti HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:15:30 +0900] "GET /petti/ HTTP/1.1" 200 4050
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:15:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:15:32 +0900] "GET /petti/adminPage HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:15:33 +0900] "GET /petti/product/list HTTP/1.1" 200 10183
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:15:35 +0900] "GET /petti/free/list HTTP/1.1" 200 14827
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:15:44 +0900] "GET /petti/announce/list HTTP/1.1" 200 10188
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:15:47 +0900] "GET /petti/free/list HTTP/1.1" 200 14827
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:15:48 +0900] "GET /petti/product/list HTTP/1.1" 200 10183
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:15:54 +0900] "GET /petti/free/list HTTP/1.1" 200 14827
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:16:23 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=0&recommend=F&bno=854 HTTP/1.1" 200 9766
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:16:23 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:16:23 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:16:23 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:16:23 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:16:23 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:16:23 +0900] "GET /petti/freeReplies/pages/1/854 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:16:23 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:16:23 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:16:25 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fa26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1694
