127.0.0.1 - - [12/Sep/2023:10:54:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:11 +0900] "GET /petti HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:11 +0900] "GET /petti/ HTTP/1.1" 200 5027
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:11 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:17 +0900] "GET /petti/product/list HTTP/1.1" 200 22445
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:17 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:17 +0900] "GET /petti/product/files/display?fileName=2023/08/30/993efca1-bfdb-4808-b0f7-a517ab661b3f_%EA%B3%A0%EC%96%91%EC%9D%B4%20(1).jpg HTTP/1.1" 200 514020
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:17 +0900] "GET /petti/product/files/display?fileName=2023/08/31/5cf252ae-23ff-47ab-a6b7-111a4781c8ee_%EA%B3%A0%EC%96%91%EC%9D%B4%20(4).jpg HTTP/1.1" 200 988061
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:17 +0900] "GET /petti/product/files/display?fileName=2023/08/31/bd2d96ce-361b-4c7d-9eab-8a6f0e155d36_%EA%B3%A0%EC%96%91%EC%9D%B4%20(7).jpg HTTP/1.1" 200 526307
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:17 +0900] "GET /petti/product/files/display?fileName=2023/08/31/0779db5c-93e9-4607-889c-be85ff2cf312_%EA%B3%A0%EC%96%91%EC%9D%B4%20(3).jpg HTTP/1.1" 200 484480
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:17 +0900] "GET /petti/product/files/display?fileName=2023/08/31/728f83d6-f79f-4079-af19-40c9e53b7d46_%EA%B3%A0%EC%96%91%EC%9D%B4%20(4).jpg HTTP/1.1" 200 988061
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:17 +0900] "GET /petti/product/files/display?fileName=2023/08/31/792f9b42-1992-4731-bd5e-2feca9ade97c_%EA%B3%A0%EC%96%91%EC%9D%B4%20(2).jpg HTTP/1.1" 200 1402007
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:24 +0900] "GET /petti/announce/list HTTP/1.1" 200 12839
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:24 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:48 +0900] "GET /petti HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:48 +0900] "GET /petti/ HTTP/1.1" 200 5027
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:48 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:50 +0900] "GET /petti/announce/list HTTP/1.1" 200 12839
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:52 +0900] "GET /petti/free/list HTTP/1.1" 200 15574
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:52 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:53 +0900] "GET /petti/free/list?type=&keyword=&pageNum=1&amount=10&cno=0&recommend=T HTTP/1.1" 200 15558
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:54:53 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
